sample, feature, aX, aY, aZ, gX, gY, gZ
40, PSD, 3.3278,59.7931,829.0737,792.0461,1707.1705,33314.2188
41, Mean, -0.0616,-0.2617,-0.9742,0.9470,1.5326,6.2175
41, Std, 0.0005,0.0006,0.0006,0.2354,0.2628,0.1273
41, RMS, 0.0616,0.2617,0.9742,0.9758,1.5549,6.2188
41, Min, -0.0630,-0.2629,-0.9753,0.3052,0.9155,5.9814
41, Max, -0.0607,-0.2601,-0.9730,1.4648,2.0752,6.5308
41, PSD, 3.3250,59.7841,828.6970,775.8365,1882.3499,33385.1602
42, Mean, -0.0615,-0.2616,-0.9742,0.9189,1.4791,6.2232
42, Std, 0.0006,0.0006,0.0005,0.1615,0.1787,0.1096
42, RMS, 0.0615,0.2616,0.9742,0.9330,1.4899,6.2242
42, Min, -0.0634,-0.2632,-0.9755,0.4272,0.7935,5.9204
42, Max, -0.0601,-0.2600,-0.9729,1.4648,1.9531,6.4697
42, PSD, 3.3163,59.7634,829.1263,849.0779,1839.8860,33549.3320
43, Mean, -0.0617,-0.2616,-0.9742,0.9103,1.4358,6.1703
43, Std, 0.0006,0.0006,0.0008,0.1277,0.1537,0.1064
43, RMS, 0.0617,0.2616,0.9742,0.9192,1.4440,6.1712
43, Min, -0.0631,-0.2628,-0.9760,0.4883,0.9766,5.7373
43, Max, -0.0599,-0.2601,-0.9724,1.2817,1.9531,6.4697
43, PSD, 3.3302,59.7314,828.5532,736.9313,1871.2043,33293.0625
44, Mean, -0.0616,-0.2617,-0.9740,0.8926,1.4672,6.1965
44, Std, 0.0006,0.0006,0.0006,0.1626,0.1720,0.1251
44, RMS, 0.0616,0.2617,0.9740,0.9073,1.4773,6.1978
44, Min, -0.0629,-0.2628,-0.9758,0.3662,0.8545,5.9204
44, Max, -0.0599,-0.2600,-0.9727,1.3428,2.0142,6.5308
44, PSD, 3.3055,59.8416,828.3809,685.5064,1851.4746,33576.1094
45, Mean, -0.0616,-0.2617,-0.9740,0.9251,1.4796,6.2051
45, Std, 0.0007,0.0006,0.0005,0.2181,0.2135,0.1221
45, RMS, 0.0616,0.2617,0.9740,0.9504,1.4949,6.2063
45, Min, -0.0635,-0.2633,-0.9751,0.3052,0.7935,5.8594
45, Max, -0.0598,-0.2600,-0.9730,1.5869,1.9531,6.5918
45, PSD, 3.3151,59.8452,828.4265,884.1781,1902.0947,34256.9180
46, Mean, -0.0615,-0.2618,-0.9740,0.9813,1.4868,6.2313
46, Std, 0.0044,0.0025,0.0012,0.1596,0.1862,0.1013
46, RMS, 0.0616,0.2618,0.9740,0.9942,1.4984,6.2321
46, Min, -0.0696,-0.2673,-0.9772,0.6104,0.9155,5.9814
46, Max, -0.0530,-0.2549,-0.9702,1.4038,2.1973,6.5308
46, PSD, 3.3416,59.9017,828.2845,783.9272,1876.7087,33410.8438
47, Mean, -0.0616,-0.2617,-0.9740,0.9093,1.4987,6.2075
47, Std, 0.0006,0.0006,0.0006,0.1607,0.1328,0.1158
47, RMS, 0.0616,0.2617,0.9740,0.9234,1.5046,6.2085
47, Min, -0.0635,-0.2633,-0.9755,0.2441,1.0986,5.9204
47, Max, -0.0599,-0.2596,-0.9723,1.5259,2.0142,6.4697
47, PSD, 3.3134,59.8407,828.4506,748.7164,1966.3807,33720.2109
48, Mean, -0.0616,-0.2617,-0.9741,0.9012,1.4997,6.1860
48, Std, 0.0008,0.0008,0.0008,0.1019,0.0949,0.0901
48, RMS, 0.0616,0.2617,0.9741,0.9070,1.5027,6.1867
48, Min, -0.0641,-0.2634,-0.9761,0.5493,1.3428,5.9814
48, Max, -0.0601,-0.2596,-0.9722,1.0986,1.7090,6.4087
48, PSD, 3.3013,59.7772,828.5527,637.0293,1925.2552,33573.4766
49, Mean, -0.0617,-0.2617,-0.9739,0.9346,1.4911,6.1941
49, Std, 0.0022,0.0023,0.0010,0.1465,0.1592,0.1015
