sample, feature, aX, aY, aZ, gX, gY, gZ
28, Min, -0.3054,0.5908,-0.1110,-42.7856,-73.1812,-63.7207
28, Max, 0.1852,1.4728,0.5206,21.4233,55.9692,50.7813
28, PSD, 31.4962,1072.1660,160.9253,95548.8125,3520171.7500,3039351.7500
29, Mean, 0.0730,1.0452,0.1282,-5.9614,-11.0431,-1.9221
29, Std, 0.0909,0.2026,0.2440,22.8401,45.7114,37.9964
29, RMS, 0.1166,1.0647,0.2756,23.6053,47.0264,38.0450
29, Min, -0.1193,0.5913,-0.2328,-39.8560,-81.5430,-56.9458
29, Max, 0.2571,1.3901,0.5071,58.9600,58.1665,58.6548
29, PSD, 25.5779,1115.2324,164.5069,707405.2500,6483692.5000,2076060.6250
30, Mean, 0.0580,0.9469,0.0192,-13.2742,10.1924,6.2294
30, Std, 0.1179,0.2423,0.2230,20.3391,44.3230,46.0541
30, RMS, 0.1314,0.9774,0.2238,24.2875,45.4798,46.4735
30, Min, -0.1093,0.5198,-0.2905,-52.0630,-62.3779,-76.0498
30, Max, 0.3497,1.3828,0.4355,24.7803,67.9321,61.0962
30, PSD, 11.7042,600.9114,100.9267,715791.4375,4473949.0000,4771323.5000
31, Mean, 0.0964,1.0232,0.1660,-6.2661,-8.5096,-6.2556
31, Std, 0.0858,0.1882,0.1906,23.0017,44.8413,33.7543
31, RMS, 0.1290,1.0403,0.2528,23.8399,45.6416,34.3291
31, Min, -0.0828,0.5833,-0.2542,-44.8608,-75.9888,-58.4106
31, Max, 0.2545,1.2695,0.4680,49.8047,66.1011,63.4766
31, PSD, 27.4979,964.3184,111.1788,507511.6562,3749009.7500,1213459.7500
32, Mean, 0.0607,0.9398,0.0652,-10.4489,2.0318,13.0482
32, Std, 0.1154,0.1658,0.1571,13.9149,53.8752,34.0065
32, RMS, 0.1304,0.9543,0.1701,17.4013,53.9135,36.4238
32, Min, -0.1140,0.6328,-0.1165,-36.5601,-86.7920,-56.2744
32, Max, 0.2777,1.1538,0.4270,26.4282,67.4438,59.8755
32, PSD, 22.4644,1027.7175,15.3596,279604.3750,5243538.0000,3607842.5000
33, Mean, 0.0806,0.9444,0.0853,-11.6897,7.1769,-2.2330
33, Std, 0.1493,0.2664,0.2933,22.6206,51.5442,52.3901
33, RMS, 0.1697,0.9813,0.3055,25.4625,52.0415,52.4376
33, Min, -0.1686,0.4062,-0.3799,-69.0308,-85.0830,-77.8198
33, Max, 0.3264,1.3429,0.5403,21.4844,75.6226,103.6987
33, PSD, 50.6393,1151.1533,234.8334,264941.8750,5312836.0000,5582377.5000
34, Mean, 0.0638,0.9321,0.0577,-5.4507,3.1786,15.9330
34, Std, 0.1747,0.2467,0.2673,20.4916,51.3651,50.0507
34, RMS, 0.1860,0.9642,0.2734,21.2042,51.4634,52.5255
34, Min, -0.1591,0.5361,-0.3727,-49.8657,-86.6089,-79.0405
34, Max, 0.3785,1.3115,0.5061,30.1514,65.7959,97.6563
34, PSD, 67.0515,813.7079,110.3092,794897.8125,5314311.5000,8353122.5000
35, Mean, 0.1031,0.9628,0.0200,8.8878,-3.3970,12.3110
35, Std, 0.1285,0.2441,0.2197,25.6660,47.0107,42.8580
35, RMS, 0.1648,0.9933,0.2206,27.1613,47.1333,44.5912
35, Min, -0.1410,0.5597,-0.3665,-38.5742,-65.2466,-65.4907
35, Max, 0.4441,1.3915,0.4753,72.2046,88.6841,74.0967
35, PSD, 11.6146,620.8173,67.5117,797372.0625,3854258.2500,5050855.5000
36, Mean, -0.0835,1.0210,0.0398,6.7830,9.2850,1.1630
36, Std, 0.1018,0.2885,0.2243,22.4640,47.2244,44.0180
36, RMS, 0.1317,1.0610,0.2278,23.4657,48.1285,44.0334
36, Min, -0.3317,0.5818,-0.3232,-45.3491,-62.1948,-80.3833
36, Max, 0.1179,2.3759,0.3934,49.9878,92.4072,68.8477
36, PSD, 8.7531,1603.2273,105.8959,506839.4375,5370552.0000,2802967.2500
37, Mean, -0.0674,0.9465,-0.0126,12.6157,-2.4095,10.0608
37, Std, 0.1395,0.2444,0.2297,19.7614,48.1550,54.7519
37, RMS, 0.1549,0.9775,0.2301,23.4450,48.2152,55.6686
37, Min, -0.2671,0.6240,-0.5403,-33.8135,-60.5469,-86.6699
37, Max, 0.1664,1.5548,0.2539,40.5273,90.3931,99.1821
37, PSD, 60.0326,429.2398,63.1225,1056627.7500,4714119.5000,7069472.0000
38, Mean, -0.0377,1.0010,-0.0157,8.6679,5.5656,-1.6294
38, Std, 0.0994,0.2657,0.2461,19.5696,45.0504,47.2942
38, RMS, 0.1063,1.0357,0.2466,21.4033,45.3929,47.3223
38, Min, -0.2361,0.4574,-0.4707,-24.9023,-58.4717,-71.3501
38, Max, 0.1066,1.4291,0.4100,54.9927,76.8433,76.3550
38, PSD, 7.9453,1501.8887,140.1822,264766.1250,5668758.5000,4321242.5000
39, Mean, -0.1243,0.9756,0.0352,3.3078,3.6335,1.1015
39, Std, 0.1092,0.2623,0.2804,20.7035,51.2547,43.1414
39, RMS, 0.1655,1.0102,0.2826,20.9661,51.3833,43.1554
39, Min, -0.3153,0.6399,-0.5791,-52.1240,-62.3169,-61.3403
39, Max, 0.0952,1.4308,0.3702,46.9360,103.5767,89.7217
39, PSD, 17.6363,415.6052,133.4509,338997.5312,4268548.5000,3068863.2500
40, Mean, -0.1092,0.9320,0.0140,11.2591,-6.8126,5.5232
40, Std, 0.1923,0.2700,0.2559,14.0599,59.6083,67.3855
40, RMS, 0.2212,0.9703,0.2563,18.0124,59.9964,67.6114
40, Min, -0.3691,0.4326,-0.4789,-14.4653,-89.5996,-105.7739
40, Max, 0.2982,1.3451,0.3558,43.2739,95.7642,96.9849
40, PSD, 130.4650,399.8519,134.8809,288454.0625,8237017.5000,10426547.0000
41, Mean, -0.0420,0.9557,0.0618,14.0409,4.8995,15.1939
41, Std, 0.1574,0.2740,0.2788,37.6095,68.2312,53.5838
41, RMS, 0.1629,0.9942,0.2856,40.1450,68.4069,55.6963
41, Min, -0.2689,0.3527,-0.3739,-61.2793,-83.6792,-86.0596
41, Max, 0.3184,1.3484,0.5490,99.1821,155.4565,79.4678
41, PSD, 21.6184,1348.9076,200.8278,1301340.6250,8690962.0000,7131739.0000
42, Mean, -0.1035,0.9917,-0.0242,18.0058,8.1105,8.0657
42, Std, 0.1355,0.2520,0.2431,12.7950,48.0638,54.6775
42, RMS, 0.1704,1.0232,0.2443,22.0890,48.7433,55.2692
42, Min, -0.3248,0.5242,-0.4211,-14.6484,-69.3359,-80.3223
42, Max, 0.0924,1.3668,0.4679,39.1846,79.5288,114.8071
42, PSD, 7.7675,1244.1013,95.1399,670624.6250,5565561.0000,3531715.7500
43, Mean, -0.1504,0.9376,-0.0954,8.6904,-6.3949,7.4883
43, Std, 0.1248,0.1928,0.1891,7.8175,37.8378,45.1363
43, RMS, 0.1955,0.9572,0.2118,11.6891,38.3744,45.7532
43, Min, -0.3406,0.5732,-0.5056,-17.3950,-62.1338,-67.0776
43, Max, 0.0891,1.2611,0.1440,26.1841,63.3545,80.3223
43, PSD, 92.3265,371.7576,55.6642,117089.9844,3933643.7500,3559159.5000
44, Mean, -0.0370,1.0288,-0.0065,6.6738,13.9461,14.4839
44, Std, 0.1386,0.2233,0.1944,13.2113,38.3951,45.9077
44, RMS, 0.1435,1.0527,0.1945,14.8013,40.8495,48.1383
44, Min, -0.2490,0.5103,-0.4044,-65.0635,-62.1948,-79.6509
44, Max, 0.5118,1.4114,0.3624,29.6631,69.5190,69.3359
44, PSD, 13.2586,1306.3094,35.8727,249982.2500,2103455.0000,3935465.0000
45, Mean, -0.1908,0.9678,-0.0786,5.5995,1.6112,6.7630
45, Std, 0.0736,0.2184,0.2211,16.4662,50.0832,37.3433
45, RMS, 0.2045,0.9921,0.2346,17.3922,50.1091,37.9507
45, Min, -0.3190,0.6278,-0.4578,-26.7334,-63.9038,-46.4478
45, Max, -0.0234,1.3749,0.2246,34.3628,95.4590,64.2090
45, PSD, 21.3261,681.7418,144.1148,722677.0000,4760027.0000,2230136.2500
46, Mean, -0.1209,0.9462,-0.1028,12.0497,-5.6038,13.0959
46, Std, 0.1070,0.2750,0.2467,34.7552,53.3303,43.3075
46, RMS, 0.1614,0.9854,0.2673,36.7848,53.6239,45.2442
46, Min, -0.3059,0.5087,-0.4703,-50.0488,-71.2891,-44.4336
46, Max, 0.0699,1.4340,0.3530,73.9136,105.9570,86.7310
46, PSD, 70.0067,250.1974,156.3397,2773897.0000,6215426.5000,4908965.5000
47, Mean, -0.0952,0.9339,0.0600,-3.0265,12.8450,1.7858
47, Std, 0.1276,0.2139,0.2932,20.5182,39.8106,42.7593
47, RMS, 0.1592,0.9581,0.2993,20.7402,41.8315,42.7966
47, Min, -0.3235,0.5638,-0.5358,-98.8770,-78.3691,-56.9458
47, Max, 0.1901,1.7010,0.4244,29.9683,62.0728,67.3218
47, PSD, 71.7483,497.8023,132.4526,277788.6562,3756309.5000,3699358.5000
48, Mean, -0.0421,1.0040,0.0856,-8.2808,-2.3737,7.2432
48, Std, 0.0809,0.1756,0.2743,20.1399,54.0551,39.8017
48, RMS, 0.0912,1.0192,0.2873,21.7758,54.1072,40.4554
48, Min, -0.2091,0.5656,-0.2827,-46.0205,-92.4683,-50.3540
48, Max, 0.1768,1.2587,0.6145,33.7524,76.7212,70.4956
48, PSD, 5.2005,1244.7975,126.3098,1017588.6875,7763880.5000,3164540.7500
49, Mean, -0.0601,0.9743,0.1070,-0.6323,4.6597,1.6303
49, Std, 0.0927,0.2464,0.2297,22.8938,53.6106,43.5412
49, RMS, 0.1105,1.0050,0.2534,22.9026,53.8128,43.5717
49, Min, -0.2511,0.5491,-0.4249,-36.5601,-105.5298,-66.4673
49, Max, 0.1425,1.3627,0.5247,90.6982,72.5098,72.2656
49, PSD, 21.0390,842.4586,127.1050,291170.9687,5143538.5000,4322311.0000
50, Mean, 0.0051,0.9557,0.0127,-9.9068,-2.7099,12.9771
50, Std, 0.1661,0.2098,0.2623,28.9187,57.2840,45.2918
50, RMS, 0.1662,0.9784,0.2626,30.5685,57.3480,47.1143
50, Min, -0.3337,0.5513,-0.3418,-100.8301,-100.8911,-95.8252
50, Max, 0.3221,1.2703,0.4653,39.6118,82.3975,77.1484
50, PSD, 52.4197,1131.4330,130.9214,1279454.6250,7365470.5000,5770196.0000
51, Mean, -0.1060,0.9284,0.2010,1.3938,4.6091,-3.0847
51, Std, 0.0870,0.2160,0.2490,19.1095,54.4559,33.3415
51, RMS, 0.1371,0.9532,0.3200,19.1603,54.6506,33.4839
51, Min, -0.2598,0.5851,-0.3273,-36.9873,-111.3281,-49.9878
51, Max, 0.1217,1.3485,0.5531,41.0767,62.0117,69.5801
51, PSD, 19.8800,924.7047,174.5237,537496.5000,3663091.0000,2399322.7500
52, Mean, -0.1199,0.9384,0.1845,-4.7984,2.0752,9.1782
52, Std, 0.1396,0.2461,0.2531,38.1883,50.9637,46.5372
52, RMS, 0.1840,0.9701,0.3132,38.4886,51.0059,47.4336
52, Min, -0.3081,0.5787,-0.2206,-93.0176,-91.9189,-70.4346
52, Max, 0.2993,1.4668,0.7045,131.0425,66.1011,91.2476
52, PSD, 14.8970,982.8813,24.5619,1046959.6250,4590138.5000,5402598.5000
53, Mean, -0.2578,0.8692,0.2753,-10.0389,3.9978,-9.4252
53, Std, 0.2191,0.3167,0.3135,48.7257,75.8252,55.7589
53, RMS, 0.3383,0.9251,0.4173,49.7491,75.9305,56.5499
53, Min, -0.6515,0.3467,-0.3082,-116.0278,-126.5259,-87.0972
53, Max, 0.1243,1.4711,1.0261,68.1152,118.5913,111.5112
53, PSD, 114.9365,996.6096,465.5062,1063159.1250,9619370.0000,5730851.5000
