sample, feature, aX, aY, aZ, gX, gY, gZ
35, Max, 0.3678,1.9019,0.0205,47.5464,28.7476,112.7930
35, PSD, 8.4813,351.7450,54.4126,714290.7500,24585.6250,7834041.0000
36, Mean, 0.0479,0.8210,-0.2236,4.1757,0.9179,-2.9125
36, Std, 0.2571,0.4449,0.1289,24.4726,9.2228,96.5379
36, RMS, 0.2615,0.9337,0.2581,24.8263,9.2684,96.5819
36, Min, -0.3264,0.2355,-0.5128,-28.7476,-16.7847,-154.8462
36, Max, 0.4674,1.7871,-0.0229,60.2417,20.4468,131.4697
36, PSD, 130.7160,1882.8815,75.3467,705912.5000,62593.9102,15866885.0000
37, Mean, 0.1744,1.0807,-0.2037,-1.7571,5.2204,3.7818
37, Std, 0.2434,0.4636,0.1017,22.4912,10.4155,94.8226
37, RMS, 0.2994,1.1760,0.2277,22.5597,11.6505,94.8980
37, Min, -0.2703,0.2758,-0.4854,-34.1797,-25.6348,-175.4150
37, Max, 0.4999,1.7856,0.0306,49.2554,25.5737,125.5493
37, PSD, 132.3124,430.9708,13.2607,558674.1875,126386.2031,15586170.0000
38, Mean, 0.0556,0.9023,-0.2117,6.4535,3.3612,-7.7505
38, Std, 0.1425,0.4045,0.0346,16.1405,7.0480,65.7933
38, RMS, 0.1529,0.9888,0.2145,17.3829,7.8085,66.2483
38, Min, -0.1183,0.3427,-0.2848,-18.9819,-7.0190,-109.8633
38, Max, 0.3130,1.6415,-0.1410,31.4941,23.0713,94.1162
38, PSD, 38.6315,1336.0281,56.6428,428268.7187,38880.4609,6827296.0000
39, Mean, 0.0685,0.8750,-0.1779,-0.9303,2.6627,20.7615
39, Std, 0.1311,0.4316,0.0409,14.5820,3.4790,60.4136
39, RMS, 0.1479,0.9757,0.1825,14.6117,4.3810,63.8815
39, Min, -0.1566,0.2656,-0.2467,-29.5410,-4.8218,-92.7734
39, Max, 0.3130,1.6859,-0.0538,29.3579,9.3384,97.2290
39, PSD, 33.1476,1575.3230,34.2565,181501.5000,10793.7754,6070460.0000
40, Mean, 0.0616,0.9319,-0.1697,-1.1477,3.0451,24.3812
40, Std, 0.1415,0.5125,0.0654,22.5241,7.3098,69.2943
40, RMS, 0.1543,1.0636,0.1819,22.5533,7.9187,73.4584
40, Min, -0.1583,0.1868,-0.3243,-33.5083,-11.4136,-128.7231
40, Max, 0.2742,1.7963,-0.0317,39.7949,16.8457,104.9805
40, PSD, 41.2645,1183.4088,15.2725,895436.4375,64354.6797,12839596.0000
41, Mean, 0.0439,0.8976,-0.2310,7.0205,1.2708,29.5205
41, Std, 0.4326,0.5543,0.2507,34.7661,36.7213,86.2244
41, RMS, 0.4348,1.0550,0.3409,35.4679,36.7432,91.1378
41, Min, -0.7211,0.0299,-0.8330,-109.0088,-112.3047,-148.9868
41, Max, 0.6079,1.7405,0.1431,69.3970,76.0498,159.5459
41, PSD, 239.4803,1092.6072,91.8966,1236545.0000,2310408.7500,12907059.0000
42, Mean, 0.0265,0.8226,-0.2344,2.6054,12.0964,30.5452
42, Std, 0.4136,0.4342,0.1916,39.6435,39.5868,88.0250
42, RMS, 0.4145,0.9302,0.3027,39.7290,41.3937,93.1741
42, Min, -0.6492,0.2152,-0.6448,-133.7280,-95.8862,-154.7852
42, Max, 0.5380,1.6807,0.0890,86.9751,75.9888,143.8599
42, PSD, 378.5545,1605.4244,166.7169,2384120.7500,2834794.0000,13141734.0000
43, Mean, 0.1081,1.0053,-0.2375,-3.1090,7.4649,11.9910
43, Std, 0.3887,0.4210,0.1636,28.8527,33.9543,74.6310
43, RMS, 0.4035,1.0899,0.2884,29.0197,34.7652,75.5882
43, Min, -0.6499,0.2742,-0.5507,-60.3638,-55.2979,-110.5957
43, Max, 0.4994,1.6492,0.0490,73.2422,67.9321,121.2158
43, PSD, 298.6992,313.9755,18.6132,251866.7656,2115348.5000,11817891.0000
44, Mean, -0.0137,0.8902,-0.1197,1.9097,-0.2093,-6.2041
44, Std, 0.3829,0.3737,0.1052,17.1259,30.2411,76.5890
44, RMS, 0.3831,0.9655,0.1593,17.2321,30.2418,76.8398
44, Min, -0.7069,0.2285,-0.3103,-30.2124,-45.5322,-93.8110
44, Max, 0.6400,1.6611,0.1132,39.2456,59.0210,127.3804
44, PSD, 351.6458,1627.5084,47.4908,418868.5625,2229784.5000,13433358.0000
45, Mean, 0.0728,0.9205,-0.1412,-3.9864,11.7893,21.2641
45, Std, 0.3799,0.3979,0.1002,28.8441,26.6447,81.7205
45, RMS, 0.3868,1.0028,0.1732,29.1182,29.1364,84.4417
45, Min, -0.6787,0.2368,-0.3289,-58.7769,-34.6680,-112.7319
45, Max, 0.7583,1.9054,0.0247,65.2466,56.7627,131.3477
45, PSD, 265.2194,912.9792,13.6169,529095.6250,858713.6875,10077768.0000
46, Mean, 0.0871,1.0275,-0.1183,-1.9746,1.3604,-3.4552
46, Std, 0.3268,0.3974,0.1081,37.3319,20.4820,64.9581
46, RMS, 0.3382,1.1017,0.1602,37.3841,20.5271,65.0499
46, Min, -0.5219,0.3564,-0.3328,-77.2095,-38.6963,-96.9849
46, Max, 0.5114,1.7444,0.1069,61.2793,50.8423,113.7695
46, PSD, 209.3854,237.3861,34.9401,1806362.2500,974316.3125,9775916.0000
47, Mean, 0.0323,0.9275,-0.0680,9.8162,0.9284,-11.4641
47, Std, 0.3468,0.3548,0.0869,34.5661,15.3244,75.4878
47, RMS, 0.3483,0.9930,0.1103,35.9329,15.3525,76.3533
47, Min, -0.5939,0.3291,-0.2378,-60.0586,-27.2217,-90.8813
47, Max, 0.5530,1.5465,0.1519,87.2192,46.4478,137.8784
47, PSD, 302.7503,1170.0977,13.2521,1684605.3750,585103.5000,13023047.0000
48, Mean, 0.1392,0.9088,-0.1236,7.8893,2.5845,-36.1204
48, Std, 0.4068,0.5437,0.1001,34.8406,10.5850,124.0044
48, RMS, 0.4299,1.0591,0.1591,35.7227,10.8960,129.1580
48, Min, -0.5491,0.1162,-0.3671,-64.8804,-25.5737,-191.5283
48, Max, 0.8336,2.1986,0.2042,95.9473,32.1045,192.0776
48, PSD, 271.6382,1060.8586,31.6217,1102466.1250,251497.2500,27994866.0000
49, Mean, 0.2324,1.0960,-0.0679,0.9041,4.9109,10.6850
49, Std, 0.2729,0.4890,0.1190,33.5828,11.3490,101.2729
49, RMS, 0.3584,1.2002,0.1370,33.5950,12.3660,101.8350
49, Min, -0.3148,0.1292,-0.3053,-63.7207,-16.2354,-159.7900
49, Max, 0.6113,1.7031,0.1919,61.0352,30.4565,175.1099
49, PSD, 152.3469,391.6907,37.1234,2075331.2500,96509.6094,18770834.0000
50, Mean, 0.2430,1.0790,-0.0857,2.5859,4.1866,-0.5040
50, Std, 0.2651,0.4005,0.0904,24.5619,8.5981,89.3233
50, RMS, 0.3596,1.1509,0.1246,24.6976,9.5632,89.3247
50, Min, -0.2618,0.2931,-0.2386,-48.5229,-12.8784,-150.9399
50, Max, 0.5560,1.6053,0.1232,57.1899,24.5972,136.0474
50, PSD, 110.1481,231.1812,23.4262,1137176.8750,80063.0391,16207523.0000
51, Mean, 0.1979,0.9929,-0.1028,-8.1549,0.9804,31.2805
51, Std, 0.2417,0.4613,0.0865,46.6616,16.1341,94.9149
51, RMS, 0.3124,1.0949,0.1343,47.3689,16.1639,99.9365
51, Min, -0.2437,0.3485,-0.2805,-84.6558,-22.1558,-139.4653
51, Max, 0.4758,1.7688,0.0753,81.3599,42.4194,163.9404
51, PSD, 109.5535,614.8144,27.8057,4213105.0000,409481.0625,14235122.0000
52, Mean, 0.1089,0.8095,-0.2016,-4.1223,0.0277,19.8779
52, Std, 0.2385,0.4642,0.1024,35.1213,12.2217,90.7152
52, RMS, 0.2622,0.9331,0.2261,35.3624,12.2217,92.8675
52, Min, -0.2552,0.3145,-0.4340,-89.8438,-21.6675,-117.4316
52, Max, 0.4658,1.8616,0.0031,61.8286,32.0435,146.3623
52, PSD, 179.9773,2002.7397,51.0783,1328066.5000,190060.6094,13504286.0000
53, Mean, 0.1383,0.8097,-0.1696,6.3620,0.2894,-5.8599
53, Std, 0.3252,0.4372,0.0928,27.8115,9.9471,101.0865
53, RMS, 0.3534,0.9202,0.1933,28.5299,9.9513,101.2562
53, Min, -0.3074,0.2496,-0.3508,-60.2417,-21.9727,-147.7661
53, Max, 0.5414,1.6289,0.0038,59.9976,16.2354,174.4385
53, PSD, 366.4236,2049.1990,22.4565,1096970.0000,120863.5781,22390988.0000
54, Mean, 0.1598,0.8437,-0.1479,8.5249,1.3828,-13.5989
54, Std, 0.2838,0.4493,0.0724,32.0586,11.5059,97.2938
54, RMS, 0.3257,0.9559,0.1647,33.1727,11.5887,98.2396
54, Min, -0.2222,0.2744,-0.2893,-70.7397,-27.0996,-161.9263
54, Max, 0.6206,1.6449,0.0002,48.1567,37.9028,150.2686
54, PSD, 231.1733,1901.3555,16.2653,1466223.8750,119238.8672,16717982.0000
55, Mean, 0.2703,1.0541,-0.2207,3.8595,5.3120,12.1660
55, Std, 0.2395,0.4369,0.1310,25.4620,14.2692,101.9432
55, RMS, 0.3612,1.1411,0.2566,25.7529,15.2259,102.6666
55, Min, -0.2767,0.2255,-0.4779,-49.5605,-23.8647,-152.9541
55, Max, 0.6345,1.6195,0.0316,47.4243,40.5273,163.0859
55, PSD, 139.3276,354.1904,24.8905,1109744.7500,161672.8906,19336546.0000
56, Mean, 0.2036,0.9094,-0.2122,-6.0821,5.2176,38.7244
56, Std, 0.2931,0.4626,0.0703,34.8331,13.1832,100.9990
56, RMS, 0.3569,1.0203,0.2235,35.3601,14.1781,108.1683
56, Min, -0.2780,0.2893,-0.3900,-62.0728,-30.0903,-174.3774
56, Max, 0.5737,1.6619,-0.0515,67.7490,32.7759,166.3208
56, PSD, 216.8479,1178.4968,25.2887,2283902.0000,278096.8750,16301423.0000
57, Mean, 0.2764,0.9788,-0.0902,-1.2708,0.7429,4.8070
57, Std, 0.2350,0.8750,0.1244,47.9963,16.7431,111.8164
57, RMS, 0.3628,1.3129,0.1537,48.0132,16.7596,111.9197
57, Min, -0.1173,-0.1455,-0.2802,-80.3223,-40.5273,-191.5894
57, Max, 0.5808,2.7056,0.3016,89.0503,31.0059,162.7808
57, PSD, 119.4141,1656.0630,7.5828,5037304.5000,175048.4844,28117210.0000
58, Mean, 0.2615,0.9097,-0.2189,7.0300,7.9083,11.9662
58, Std, 0.2893,0.6913,0.2155,44.9129,14.1297,108.9249
58, RMS, 0.3900,1.1425,0.3072,45.4597,16.1923,109.5802
58, Min, -0.2345,-0.0027,-0.7620,-70.4956,-18.9819,-178.2837
58, Max, 0.7357,2.0966,0.1404,91.9189,32.1045,181.3354
58, PSD, 194.3191,1107.4590,144.0967,3707884.7500,288600.0000,26752654.0000
59, Mean, 0.2057,0.9032,-0.1554,6.0525,6.7401,3.4132
59, Std, 0.2431,0.6868,0.1517,46.3409,23.4178,121.6008
59, RMS, 0.3185,1.1346,0.2172,46.7345,24.3685,121.6487
59, Min, -0.2008,-0.0117,-0.3810,-62.8052,-23.8647,-236.9995
59, Max, 0.5992,2.0676,0.2714,94.9707,82.8857,166.3818
59, PSD, 123.8274,1866.3107,19.7466,4273801.0000,599029.7500,31625612.0000
60, Mean, 0.0341,0.9769,-0.2568,0.4296,0.8359,4.9582
60, Std, 0.0602,0.5741,0.1144,28.7051,18.1945,84.8172
60, RMS, 0.0692,1.1331,0.2812,28.7083,18.2137,84.9620
60, Min, -0.0767,0.1233,-0.5071,-38.4521,-22.0947,-129.2725
60, Max, 0.1896,1.9519,0.0020,64.3921,41.6260,120.6055
60, PSD, 1.9706,769.0908,33.9681,936087.8750,593447.3125,16030329.0000
61, Mean, 0.0268,0.9432,-0.1979,3.3684,3.6345,2.0685
61, Std, 0.0736,0.6941,0.1088,38.7490,15.9123,93.6459
