sample, feature, aX, aY, aZ, gX, gY, gZ
30, RMS, 0.0915,0.9962,0.6733,12.2746,74.8323,18.8816
30, Min, -0.2556,0.7953,-1.1436,-36.0718,-105.2246,-27.5269
30, Max, 0.1151,1.1040,1.2401,17.2729,105.8960,39.6729
30, PSD, 13.2451,661.7955,883.0662,88005.1563,9557875.0000,603773.4375
31, Mean, -0.0540,0.9791,0.0158,3.1934,32.0654,8.4143
31, Std, 0.0712,0.0991,0.6952,14.3641,79.9681,15.7848
31, RMS, 0.0893,0.9841,0.6953,14.7148,86.1573,17.8874
31, Min, -0.2119,0.8134,-1.1246,-22.9492,-114.5630,-22.0337
31, Max, 0.1196,1.1351,1.2008,40.7104,132.5684,39.8560
31, PSD, 14.8245,758.4509,745.4703,239412.0469,9468676.0000,400853.8437
32, Mean, -0.0478,0.9886,0.0981,4.3740,19.9871,8.3985
32, Std, 0.0730,0.0631,0.5651,12.2689,69.9458,12.0560
32, RMS, 0.0873,0.9906,0.5736,13.0253,72.7454,14.6930
32, Min, -0.1743,0.8464,-1.0109,-27.0996,-99.4873,-24.4751
32, Max, 0.1060,1.1019,0.9531,29.9072,105.5298,32.8979
32, PSD, 7.4374,828.9467,603.8420,198241.0313,9382427.0000,228396.3281
33, Mean, -0.1219,0.9645,-0.0969,-0.3018,9.1586,4.9458
33, Std, 0.0501,0.0638,0.5354,13.3033,54.0462,10.4107
33, RMS, 0.1318,0.9666,0.5441,13.3068,54.8167,11.5257
33, Min, -0.2345,0.8259,-0.9010,-30.0903,-78.1860,-18.1885
33, Max, 0.0183,1.1385,0.8719,27.1606,82.8247,27.0996
33, PSD, 21.4049,748.7202,546.5934,121244.2344,5852032.5000,239405.1094
34, Mean, -0.0507,0.9787,0.0757,2.9263,1.8334,6.9118
34, Std, 0.0920,0.1639,1.1086,18.1801,94.4945,22.5169
34, RMS, 0.1051,0.9924,1.1111,18.4141,94.5123,23.5539
34, Min, -0.2339,0.7029,-1.7924,-30.0293,-134.9487,-35.7056
34, Max, 0.1941,1.3079,1.7618,37.5977,139.7705,45.1050
34, PSD, 8.5978,740.8285,2920.4817,477966.0937,20854298.0000,836310.1250
35, Mean, 0.0442,0.9821,0.1142,0.5622,-4.9963,3.0065
35, Std, 0.1463,0.2040,1.1082,24.1279,97.7095,26.1773
35, RMS, 0.1528,1.0031,1.1141,24.1345,97.8372,26.3494
35, Min, -0.3226,0.6467,-2.1782,-77.0874,-170.7764,-74.4019
35, Max, 0.5211,1.6405,1.7966,63.2935,133.7280,47.4243
35, PSD, 27.2431,980.4537,2277.2185,434201.5937,21727728.0000,1249984.1250
36, Mean, -0.1087,0.9763,0.0257,5.7549,-7.4954,3.6225
36, Std, 0.0648,0.0621,0.4586,15.3470,46.7751,6.5674
36, RMS, 0.1265,0.9783,0.4593,16.3905,47.3718,7.5002
36, Min, -0.2382,0.8218,-0.9209,-42.9077,-72.2046,-11.4746
36, Max, 0.0433,1.0714,0.7969,32.5317,74.5239,16.1133
36, PSD, 7.1248,871.7528,556.5621,304821.3750,4742310.5000,98729.7188
37, Mean, -0.1116,0.9843,0.0647,-0.8044,7.0076,7.1263
37, Std, 0.0350,0.0440,0.1659,5.0639,22.9731,5.5681
37, RMS, 0.1170,0.9853,0.1781,5.1274,24.0181,9.0437
37, Min, -0.1732,0.8800,-0.3088,-9.8267,-37.4756,-4.0283
37, Max, -0.0063,1.0815,0.4443,13.5498,33.6914,17.5171
37, PSD, 13.6790,916.2758,30.0824,30586.6387,1045340.0000,111678.1406
38, Mean, -0.1054,0.9711,0.1589,0.7114,6.3162,7.0481
38, Std, 0.0318,0.0421,0.2283,5.5320,25.8227,6.4685
38, RMS, 0.1101,0.9720,0.2781,5.5776,26.5839,9.5665
38, Min, -0.1674,0.8893,-0.3361,-9.3994,-46.4478,-8.4229
38, Max, -0.0382,1.0614,0.4725,12.7563,43.2129,17.9443
38, PSD, 4.5217,788.4952,151.6992,14151.4297,1208865.3750,66610.0781
39, Mean, -0.1182,0.9885,0.0385,-1.8377,-3.7827,2.5978
39, Std, 0.0558,0.0795,0.4315,16.3289,46.8523,9.8010
39, RMS, 0.1307,0.9917,0.4332,16.4320,47.0047,10.1395
39, Min, -0.2177,0.7927,-0.5886,-35.8276,-70.0684,-17.3340
39, Max, 0.0065,1.1251,0.7943,31.6772,76.2939,20.3247
39, PSD, 10.1021,741.2062,520.4546,144487.1406,5618825.5000,215041.6250
40, Mean, -0.1963,0.9448,0.1703,-1.1249,10.6225,8.6517
40, Std, 0.1276,0.0935,0.4639,19.7042,41.5336,12.1693
40, RMS, 0.2341,0.9494,0.4942,19.7363,42.8705,14.9313
40, Min, -0.5286,0.7767,-0.6328,-56.3965,-55.6030,-19.4092
40, Max, 0.1147,1.2596,0.9633,36.6211,79.2236,28.3203
40, PSD, 49.6867,805.7585,338.8462,279584.3125,2731630.5000,99654.8984
41, Mean, -0.0719,0.9434,0.0039,2.4328,0.2146,2.6059
41, Std, 0.1125,0.0735,0.4456,19.7867,48.8929,16.9857
41, RMS, 0.1335,0.9463,0.4456,19.9357,48.8933,17.1845
41, Min, -0.2607,0.8000,-0.9246,-48.4619,-65.8569,-40.2222
41, Max, 0.1428,1.0892,0.7266,43.9453,75.9888,36.1938
41, PSD, 47.1721,778.3883,453.1418,468130.9375,5059870.0000,613904.6250
42, Mean, 0.0732,0.9635,0.0105,2.3046,14.9770,7.1526
42, Std, 0.1612,0.1599,0.9660,26.3090,100.1201,29.2884
42, RMS, 0.1771,0.9767,0.9661,26.4098,101.2341,30.1491
42, Min, -0.3578,0.5918,-1.5375,-58.8989,-143.3105,-44.7998
42, Max, 0.3605,1.1813,1.6377,49.2554,151.4282,60.9741
42, PSD, 32.0625,676.8227,1729.6426,652525.1250,20263662.0000,1581587.8750
43, Mean, 0.0546,0.9392,0.0859,2.3265,9.9163,7.4606
43, Std, 0.2141,0.2128,1.0140,27.8628,108.4655,38.9779
43, RMS, 0.2209,0.9630,1.0176,27.9597,108.9179,39.6855
43, Min, -0.4297,0.4438,-1.5281,-53.9551,-151.3672,-58.2886
43, Max, 0.3727,1.2551,1.7814,53.6499,162.4756,81.2378
43, PSD, 65.7230,589.0824,2122.3398,1186014.5000,25696820.0000,3420183.7500
44, Mean, 0.0859,0.9570,-0.1771,-1.2832,3.4804,2.5311
44, Std, 0.1213,0.1244,0.8319,31.6571,113.7838,29.7939
44, RMS, 0.1486,0.9651,0.8505,31.6831,113.8370,29.9012
44, Min, -0.2795,0.6433,-1.6011,-80.9937,-172.0581,-54.3823
44, Max, 0.2428,1.2278,1.3777,54.9927,160.8887,54.6875
44, PSD, 32.2812,583.9174,1275.5514,807196.3750,20873778.0000,1668297.5000
45, Mean, 0.0095,0.9701,0.0483,7.0963,26.5160,9.6364
45, Std, 0.0808,0.0625,0.6616,18.3405,71.9154,19.5175
45, RMS, 0.0814,0.9721,0.6634,19.6655,76.6480,21.7668
45, Min, -0.1094,0.8535,-1.1205,-36.1938,-122.0093,-33.9966
45, Max, 0.1953,1.0886,1.1240,35.1563,112.3047,43.9453
45, PSD, 4.2413,767.9550,735.0178,271057.5000,8787724.0000,489406.2500
46, Mean, 0.1471,0.9547,-0.0948,-1.0037,2.9368,1.2970
46, Std, 0.1435,0.1103,0.7416,33.5730,90.2455,31.1381
46, RMS, 0.2055,0.9610,0.7476,33.5880,90.2933,31.1651
46, Min, -0.1727,0.7260,-1.3092,-64.6973,-143.3105,-50.0488
46, Max, 0.4025,1.1431,0.9852,52.7954,140.9912,62.9272
46, PSD, 41.7167,540.4698,1109.4482,1201365.2500,18197838.0000,2320872.2500
47, Mean, -0.0228,0.9635,0.1489,1.4305,5.2791,7.5674
47, Std, 0.0442,0.0603,0.4557,11.2577,51.4116,14.2188
47, RMS, 0.0497,0.9654,0.4794,11.3482,51.6819,16.1072
47, Min, -0.0957,0.8302,-0.6735,-18.8599,-71.2891,-12.0850
47, Max, 0.0903,1.0507,0.7166,23.1934,87.2192,35.7666
47, PSD, 2.4535,953.2861,375.5779,253389.4063,7085361.0000,454345.6562
48, Mean, -0.1164,0.9621,0.0137,-1.5349,6.2890,9.4743
48, Std, 0.0711,0.0858,0.4623,18.2758,43.7646,12.0734
48, RMS, 0.1364,0.9659,0.4625,18.3402,44.2141,15.3470
48, Min, -0.2365,0.7799,-0.8333,-44.8608,-56.8237,-15.0146
48, Max, 0.0237,1.0759,0.7714,38.1470,80.8105,38.0249
48, PSD, 4.8222,610.2001,501.2575,221404.4531,4826854.5000,407222.1562
49, Mean, -0.1668,0.9561,0.0479,3.0723,-11.8680,2.1877
49, Std, 0.0568,0.0623,0.4290,10.9634,52.5084,12.4579
49, RMS, 0.1762,0.9581,0.4316,11.3858,53.8329,12.6485
49, Min, -0.2767,0.7999,-0.5464,-18.6157,-78.6133,-17.9443
49, Max, -0.0569,1.0690,0.9279,27.4658,77.8809,27.4658
49, PSD, 16.0042,843.0131,490.4120,168999.2969,5830802.0000,385890.5937
50, Mean, -0.0462,0.9372,0.1869,2.4214,7.1793,5.9524
50, Std, 0.0570,0.0678,0.5554,24.9017,43.6343,11.8884
50, RMS, 0.0734,0.9397,0.5860,25.0191,44.2210,13.2953
50, Min, -0.1970,0.8091,-0.9185,-39.9170,-59.2041,-15.1367
50, Max, 0.0581,1.0564,1.0199,55.2979,80.6885,28.6865
50, PSD, 6.0452,899.1691,516.1165,1133229.5000,4128938.7500,167343.8594
51, Mean, 0.0214,0.9797,-0.0640,-0.4544,8.4729,6.2194
51, Std, 0.0996,0.0776,0.5483,18.6976,52.5622,9.6338
51, RMS, 0.1019,0.9828,0.5520,18.7031,53.2407,11.4670
51, Min, -0.1327,0.8528,-0.9187,-39.6118,-67.3218,-15.8081
51, Max, 0.3181,1.1722,0.9288,50.7202,84.6558,25.6348
51, PSD, 9.8829,719.1711,609.7299,281152.0937,6151395.5000,163071.0156
52, Mean, 0.0641,0.9623,0.1397,2.8000,4.6663,6.1474
